query_id,paper_id,relevance,bt_theta
q-000,1,0.7345659335431234,-3.8945994593305304
q-000,2392,0.0396277535331524,-11.556402323860306
q-000,22085,0.8210614477611722,-2.9409727948762714
q-000,23624,0.572979316904964,-5.6761173523468
q-000,25725,0.48430039909183203,-6.653816385251146
q-000,28801,0.43399731964971267,-7.208415757181998
q-000,30143,0.7544553532522584,-3.675315475107503
q-000,33901,0.24912396572268566,-9.24667359570369
q-000,37585,1.0,-0.9681470795031566
q-000,40122,0.9327044791155056,-1.7100907940871566
q-000,49080,0.4713702342156676,-6.796373489086796
q-000,52795,0.8040453544877555,-3.1285779026910396
q-000,53213,0.06717463956432008,-11.252693567637634
q-000,73887,0.7769235746004772,-3.4275997967370877
q-000,81689,0.6892906936990764,-4.393766107973169
q-000,81700,0.9214014247154082,-1.834708748707753
q-000,81898,0.2682118056040969,-9.036227155303791
q-000,83623,0.27633961420399716,-8.946616785627208
q-000,83671,0.33925569583526793,-8.252957078427723
q-000,83918,0.32256438591236636,-8.436981398660361
q-000,84075,0.10920562955408898,-10.78929528450112
q-000,84120,0.24935358167669647,-9.244142043653756
q-000,85821,0.6303017191628099,-5.044128841059955
q-000,87314,0.5506177786544956,-5.922656832765436
q-000,96543,0.22812630796048733,-9.478176078972805
q-000,96937,0.18357512699017092,-9.969359864517092
q-000,96980,0.4601882526629922,-6.91965659649957
q-000,97011,0.79588999267861,-3.2184920508382775
q-000,97037,0.5213739185678239,-6.2450749951676725
q-000,97894,0.3409017200660184,-8.23480940208899
q-000,104806,0.5954324655481009,-5.428567852923368
q-000,104907,0.2890486583824454,-8.80649757230312
q-000,104983,0.2549478696443345,-9.182464137894083
q-000,105065,0.42498457723042543,-7.30778266156531
q-000,105107,0.5917963670192794,-5.4686564117696195
q-000,105113,0.0,-11.993304546631878
q-000,105220,0.4867503676839943,-6.626805095733037
q-000,108791,0.5191443322101369,-6.269656535847734
q-000,116208,0.6378219699541932,-4.961216891892654
q-000,127849,0.6928418286623151,-4.354614285816435
q-001,4,0.7418692658374645,-3.7785163894129465
q-001,18460,0.46519066535855397,-6.699477660593181
q-001,22717,0.20500539161340608,-9.446314989629526
q-001,22831,0.38087719035281864,-7.589594911092819
q-001,23007,0.2938674337702444,-8.50817744242195
q-001,23327,0.4337990121364278,-7.030886750929172
q-001,25695,0.2551813055255664,-8.91659602679754
q-001,31858,0.6341973381504266,-4.915234336600659
q-001,31894,0.8273301645214013,-2.8762855163929517
q-001,37894,0.4958564172716601,-6.375732081662396
q-001,44635,0.7219346150469782,-3.9889712016489622
q-001,46874,0.5427688122486881,-5.880466858298459
q-001,49052,0.23881091292283654,-9.089422124312206
q-001,57590,0.4897682362990012,-6.440006444776462
q-001,63805,0.35514560949757695,-7.861249281883714
q-001,64609,0.2305552739572264,-9.17657885289784
q-001,67013,0.7416419025187931,-3.7809167176175
q-001,67460,0.04547055241797577,-11.130561931341733
q-001,76912,0.8995870357450604,-2.1134526769336053
q-001,78745,0.09980747409868694,-10.556914227653103
q-001,79260,0.09758225641229645,-10.580406375837462
q-001,83067,0.08398543560658436,-10.723951221430571
q-001,83103,0.36988529672890436,-7.705638925761145
q-001,84026,0.6166436075670779,-5.100553212400747
q-001,84379,0.7729937752051164,-3.449927599784717
q-001,87052,0.551744904295016,-5.785704136539386
q-001,97959,1.0,-1.05336931954565
q-001,102836,0.2096253432164339,-9.397541070418525
q-001,106922,0.4578891673125357,-6.77656129834869
q-001,109788,0.5566097958630162,-5.734344328321392
q-001,109799,0.36784402421056145,-7.727189121402165
q-001,114990,0.15964103121046888,-9.925237246715838
q-001,116132,0.8482917046700542,-2.654989590894835
q-001,118798,0.0,-11.610605282588198
q-001,121757,0.26514279649042755,-8.811430216137785
q-001,125435,0.3716661384874196,-7.68683815910366
q-001,126092,0.5705763741982623,-5.586895865239881
q-001,127571,0.8821864533209882,-2.2971547314789045
q-001,127688,0.7503939022505913,-3.688519791300421
